0x0082 Name: ADD_PLAYER_CHARACTER                         flags: 0x0009
0x0083 Name: END_MISSION                                  flags: 0x007E
0x0084 Name: SEAL_MISSION                                 flags: 0x00F1
0x0085 Name: CLOSE_INSTANCE                               flags: 0x007F
0x0086 Name: GET_PLAYTEST_MAP_LIST                        flags: 0x0061
0x0087 Name: GET_PRODUCTION_MAP_LIST                      flags: 0x00F0
0x0088 Name: DROP_CHARACTER                               flags: 0x011B
0x0089 Name: GET_ALL_SPECIAL_FX_MATERIALS                 flags: 0x011C
0x008A Name: STATS_TRANSMIT                               flags: 0x0121
0x008B Name: GET_ALL_SOUND_CUES                           flags: 0x0033
0x008C Name: GET_ACTIVE_PLAYERS                           flags: 0x100000FC
0x008D Name: PLAYER_LOGOFF                                flags: 0x0004
0x008E Name: RELAY_LOG                                    flags: 0x0005
0x008F Name: RELAY_PLAYER_WINDOW                          flags: 0x00F9
0x0090 Name: REGISTER_LISTENER                            flags: 0x006E
0x0091 Name: UPDATE_RELEVANCE_MASK                        flags: 0x005E
0x0092 Name: BOT_SUMMARY                                  flags: 0x0062
0x0093 Name: PLAYER_SUMMARY                               flags: 0x00EF
0x0094 Name: LISTEN_PLAYER                                flags: 0x01FA
0x0095 Name: LISTEN_BOT                                   flags: 0x018A
0x0096 Name: PACKAGE_LIST                                 flags: 0x01B9
0x0097 Name: JOB_START                                    flags: 0x01D7
0x0098 Name: JOB_END                                      flags: 0x01D6
0x0099 Name: JOB_EXEC                                     flags: 0x01FB
0x009A Name: GET_ALL_LOOT_TABLES                          flags: 0x009B
0x009B Name: GET_ALL_LOOT_TABLE_ITEMS                     flags: 0x1000009A
0x009C Name: GET_LOOT_TABLE_ITEMS_BY_ID                   flags: 0x0006
0x009D Name: GET_PROPERTY_LIST                            flags: 0x007B
0x009E Name: CHANGE_PROPERTIES                            flags: 0x0079
0x009F Name: COMBAT_MESSAGE                               flags: 0x3000007C
0x00A0 Name: SEND_PLAYER_SKILLS                           flags: 0x007A
0x00A1 Name: SCOREBOARD_REQUEST                           flags: 0x002D
0x00A2 Name: UPDATE_MAP_TF_BEST                           flags: 0x00B2
0x00A3 Name: INCREMENT_METRIC_MAP                         flags: 0x01C2
0x00A4 Name: TRANSFER_READY                               flags: 0x012B
0x00A5 Name: TRANSFER_SET                                 flags: 0x0060
0x00A6 Name: TRANSFER_GO                                  flags: 0x0007
0x00A7 Name: REQUEST_SCOREBOARD_WEIGHTS                   flags: 0x0008
0x00A8 Name: GET_ALL_ASM_MESH_IMPACT_GRPS                 flags: 0x0174
0x00A9 Name: CHANGE_MAP_PREP                              flags: 0x0173
0x00AA Name: INSTANCE_WRAP_UP                             flags: 0x00AE
0x00AB Name: KICK_PLAYERS                                 flags: 0x00AD
0x00AC Name: SHUTDOWN_MAP_INSTANCE                        flags: 0x0120
